Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
1st,PAS,Giannina,26,9,3,1,33,13,9,3,1,27,14,60,,4-1-2-2-1 High pressing (compact), 60-27,60,26,18_6_2
1st,PAS,Giannina,26,11,2,0,33,6,7,3,3,24,21,59,,4-1-2-2-1 High pressing (compact), 57-27,59,26,18_5_3
1st,PAS,Giannina,26,11,2,0,26,8,8,5,0,33,12,64,,4-1-2-2-1 High pressing (compact), 59-20,64,26,19_7_0
1st,PAS,Giannina,26,9,2,2,29,13,8,1,4,20,11,54,,4-1-2-2-1 High pressing (compact), 49-24,54,26,17_3_6
1st,PAS,Giannina,26,12,0,1,27,9,10,2,1,26,9,68,,4-1-2-2-1 High pressing (compact), 53-18,68,26,22_2_2
1st,PAS,Giannina,26,9,1,3,28,12,8,3,2,20,12,55,,4-1-2-2-1 High pressing (compact), 48-24,55,26,17_4_5
1st,PAS,Giannina,26,11,2,0,33,10,8,4,1,23,10,63,,4-1-2-2-1 High pressing (compact), 56-20,63,26,19_6_1
2nd,PAS,Giannina,26,9,2,2,28,15,7,5,1,26,14,55,,4-1-2-2-1 High pressing (compact), 54-29,55,26,16_7_3
1st,PAS,Giannina,26,9,2,2,26,12,9,0,4,24,18,56,,4-1-2-2-1 High pressing (compact), 50-30,56,26,18_2_6
1st,PAS,Giannina,26,12,1,0,33,4,5,5,3,24,16,57,,4-1-2-2-1 High pressing (compact), 57-20,57,26,17_6_3
1st,PAS,Giannina,26,12,1,0,32,9,10,2,1,31,8,69,,4-1-2-2-1 High pressing (compact), 63-17,69,26,22_3_1
1st,PAS,Giannina,26,9,3,1,27,11,8,2,3,15,9,56,,4-1-2-2-1 High pressing (compact), 42-20,56,26,17_5_4
Total,PAS,Giannina,2600,991,203,106,3038,1128,706,326,268,2288,1393,5620, ,4-1-2-2-1 High pressing (compact), 53.26-25.21,56.2, 26, 16.97_5.29_3.74
