Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
2nd,PAS,Giannina,26,9,4,0,32,13,8,3,2,21,10,58,,4-1-2-2-1 High pressing (uppgraded), 53-23,58,26,17_7_2
1st,PAS,Giannina,26,9,4,0,31,10,7,3,3,28,13,55,,4-1-2-2-1 High pressing (uppgraded), 59-23,55,26,16_7_3
1st,PAS,Giannina,26,10,2,1,32,15,7,2,4,21,14,55,,4-1-2-2-1 High pressing (uppgraded), 53-29,55,26,17_4_5
1st,PAS,Giannina,26,10,0,3,25,15,5,6,2,18,14,51,,4-1-2-2-1 High pressing (uppgraded), 43-29,51,26,15_6_5
1st,PAS,Giannina,26,9,3,1,22,8,6,6,1,25,15,54,,4-1-2-2-1 High pressing (uppgraded), 47-23,54,26,15_9_2
1st,PAS,Giannina,26,12,1,0,35,11,9,1,3,32,14,65,,4-1-2-2-1 High pressing (uppgraded), 67-25,65,26,21_2_3
2nd,PAS,Giannina,26,10,2,1,28,11,4,4,5,15,13,48,,4-1-2-2-1 High pressing (uppgraded), 43-24,48,26,14_6_6
1st,PAS,Giannina,26,9,2,2,30,11,7,5,1,21,12,55,,4-1-2-2-1 High pressing (uppgraded), 51-23,55,26,16_7_3
1st,PAS,Giannina,26,10,1,2,30,9,6,5,2,19,16,54,,4-1-2-2-1 High pressing (uppgraded), 49-25,54,26,16_6_4
2nd,PAS,Giannina,26,10,2,1,32,14,4,5,4,13,10,49,,4-1-2-2-1 High pressing (uppgraded), 45-24,49,26,14_7_5
1st,PAS,Giannina,26,11,2,0,34,11,8,2,3,29,19,61,,4-1-2-2-1 High pressing (uppgraded), 63-30,61,26,19_4_3
1st,PAS,Giannina,26,10,3,0,32,10,11,1,1,29,8,67,,4-1-2-2-1 High pressing (uppgraded), 61-18,67,26,21_4_1
1st,PAS,Giannina,26,11,1,1,31,10,6,6,1,29,13,58,,4-1-2-2-1 High pressing (uppgraded), 60-23,58,26,17_7_2
2nd,PAS,Giannina,26,10,2,1,24,6,8,2,3,21,13,58,,4-1-2-2-1 High pressing (uppgraded), 45-19,58,26,18_4_4
2nd,PAS,Giannina,26,9,4,0,28,8,9,2,2,22,10,60,,4-1-2-2-1 High pressing (uppgraded), 50-18,60,26,18_6_2
2nd,PAS,Giannina,26,8,4,1,22,12,8,2,3,32,17,54,,4-1-2-2-1 High pressing (uppgraded), 54-29,54,26,16_6_4
1st,PAS,Giannina,26,9,3,1,28,10,7,4,2,25,15,55,,4-1-2-2-1 High pressing (uppgraded), 53-25,55,26,16_7_3
1st,PAS,Giannina,26,7,3,3,26,18,9,3,1,30,15,54,,4-1-2-2-1 High pressing (uppgraded), 56-33,54,26,16_6_4
1st,PAS,Giannina,26,12,1,0,40,8,8,3,2,27,13,64,,4-1-2-2-1 High pressing (uppgraded), 67-21,64,26,20_4_2
1st,PAS,Giannina,26,8,5,0,30,14,9,3,1,27,15,59,,4-1-2-2-1 High pressing (uppgraded), 57-29,59,26,17_8_1
1st,PAS,Giannina,26,11,1,1,27,9,6,2,5,20,15,54,,4-1-2-2-1 High pressing (uppgraded), 47-24,54,26,17_3_6
1st,PAS,Giannina,26,9,4,0,28,11,6,3,4,22,14,52,,4-1-2-2-1 High pressing (uppgraded), 50-25,52,26,15_7_4
1st,PAS,Giannina,26,10,1,2,36,17,7,2,4,25,18,54,,4-1-2-2-1 High pressing (uppgraded), 61-35,54,26,17_3_6
1st,PAS,Giannina,26,10,1,2,32,14,7,3,3,26,14,55,,4-1-2-2-1 High pressing (uppgraded), 58-28,55,26,17_4_5
2nd,PAS,Giannina,26,8,3,2,27,11,6,3,4,23,18,48,,4-1-2-2-1 High pressing (uppgraded), 50-29,48,26,14_6_6
1st,PAS,Giannina,26,11,1,1,37,13,9,1,3,28,17,62,,4-1-2-2-1 High pressing (uppgraded), 65-30,62,26,20_2_4
1st,PAS,Giannina,26,10,2,1,30,9,8,2,3,20,10,58,,4-1-2-2-1 High pressing (uppgraded), 50-19,58,26,18_4_4
1st,PAS,Giannina,26,9,3,1,31,14,9,3,1,24,12,60,,4-1-2-2-1 High pressing (uppgraded), 55-26,60,26,18_6_2
1st,PAS,Giannina,26,9,3,1,31,11,9,1,3,25,10,58,,4-1-2-2-1 High pressing (uppgraded), 56-21,58,26,18_4_4
1st,PAS,Giannina,26,12,1,0,28,6,5,4,4,17,13,56,,4-1-2-2-1 High pressing (uppgraded), 45-19,56,26,17_5_4
1st,PAS,Giannina,26,7,4,2,23,9,7,3,3,17,10,49,,4-1-2-2-1 High pressing (uppgraded), 40-19,49,26,14_7_5
2nd,PAS,Giannina,26,10,1,2,27,10,5,4,4,22,18,50,,4-1-2-2-1 High pressing (uppgraded), 49-28,50,26,15_5_6
Total,PAS,Giannina,2600,940,246,114,3000,1195,692,314,294,2289,1398,5456, ,4-1-2-2-1 High pressing (uppgraded), 52.89-25.93,54.56, 26, 16.32_5.6_4.08
